date,Open price,High price,Low price,Close price
8/13/2019,1512.95,1534.7,1486.27,1502.28
8/14/2019,1502.4,1524,1494.47,1515.03
8/15/2019,1516.83,1526.62,1508.22,1520.94
8/17/2019,1512.09,1514.53,1511.14,1513.54
8/19/2019,1512.17,1512.98,1493.39,1495.34
8/21/2019,1506.35,1508.11,1496.69,1502.14
8/22/2019,1501.97,1504.55,1492.58,1498.9
8/24/2019,1528.72,1529.24,1525.4,1526.92
8/26/2019,1542.99,1555.23,1525.22,1527.9
8/27/2019,1528.09,1544.58,1525.83,1539.92
8/28/2019,1541.59,1546.85,1532.24,1540.24
8/31/2019,1524.99,1525.17,1520.15,1520.5
9/2/2019,1528.41,1533.94,1519.49,1529.2
9/3/2019,1529.82,1549.27,1521.78,1543.04
9/4/2019,1546.07,1557.04,1533.98,1553.14
9/5/2019,1553.72,1555.39,1511.59,1517.19
9/7/2019,1507.37,1507.6,1505.38,1507
9/11/2019,1488.93,1498.28,1484.92,1497.88
9/12/2019,1496.76,1523.54,1489.35,1499.67
9/14/2019,1489.26,1489.26,1486.64,1488.74
9/16/2019,1505.88,1512.2,1496.14,1501.99
9/17/2019,1501.32,1507.13,1493.59,1502.71
9/18/2019,1502.69,1511.07,1484.82,1488.9
9/19/2019,1488.97,1504.19,1488.97,1497.95
9/21/2019,1515.13,1517.07,1514.76,1516.77
9/23/2019,1514.55,1526.84,1511.63,1523.18
9/24/2019,1522.76,1535.55,1515.97,1531.43
9/25/2019,1531.62,1535.16,1500.61,1504.74
9/28/2019,1497.03,1497.15,1496.56,1496.98
9/30/2019,1495.49,1500.55,1464.64,1473.17
10/1/2019,1473.13,1487.09,1459.24,1480.78
10/2/2019,1480.58,1505.01,1474.73,1500.01
10/7/2019,1511.9,1511.9,1489.17,1492.29
10/12/2019,1487.66,1488.85,1486.95,1488.74
10/15/2019,1492.66,1498.24,1477.62,1481.42
10/16/2019,1480.9,1491.5,1477.33,1490
10/17/2019,1490.21,1497.29,1483.57,1491.93
10/21/2019,1491.09,1495.19,1482.11,1484.4
10/22/2019,1483.77,1489.02,1481.03,1487.78
10/23/2019,1487.88,1496.08,1487.55,1491.64
10/24/2019,1491.69,1504.03,1488.13,1502.76
10/26/2019,1504.35,1504.67,1504.24,1504.51
10/28/2019,1504.52,1508.28,1490.2,1491.97
10/30/2019,1488.66,1496.61,1481.31,1494.64
10/31/2019,1494.63,1514.01,1493.95,1512.33
11/2/2019,1513.27,1514.37,1513.27,1514.26
11/4/2019,1513.84,1514.74,1504.55,1508.74
11/5/2019,1508.68,1510.71,1479.89,1484.54
11/7/2019,1491.38,1492.12,1461.49,1469.21
11/9/2019,1460.04,1460.38,1458,1459.06
11/11/2019,1459.34,1466.29,1448.91,1456.76
11/12/2019,1456.64,1460.38,1445.91,1457.69
11/13/2019,1457.53,1467.03,1456.08,1463.88
11/14/2019,1463.49,1474.38,1461.25,1470.95
11/16/2019,1467.35,1467.95,1466.26,1467.86
11/20/2019,1472.23,1478.86,1466.1,1473.24
11/21/2019,1473.53,1475.7,1462.97,1464.26
11/23/2019,1462.98,1463.16,1461.83,1462.11
11/25/2019,1462.29,1462.29,1454.16,1455.08
11/26/2019,1455.09,1462.43,1450.68,1461.42
11/27/2019,1461.89,1462.94,1452.92,1454.89
11/28/2019,1454.62,1458.34,1453.85,1458.34
12/2/2019,1467.03,1467.03,1454.07,1463.39
12/3/2019,1463.39,1481.64,1459.9,1476.85
12/4/2019,1477.04,1484.04,1471.58,1475.08
12/5/2019,1475.19,1480.38,1473.12,1475.79
12/9/2019,1459.49,1465.37,1458.81,1460.32
12/10/2019,1460.5,1469.16,1460.1,1464.62
12/11/2019,1464.69,1478.79,1462.95,1475.23
12/12/2019,1474.92,1486.73,1464.66,1469.6
12/14/2019,1474.88,1476.7,1474.64,1475.76
12/16/2019,1475.5,1479.8,1473.28,1476.51
12/28/2019,1510.95,1511.32,1510.2,1511.03
12/21/2019,1515.54,1525.24,1514.66,1518.7
1/1/2020,1518.8,1518.8,1517.2,1517.2
1/2/2020,1517.3,1531.44,1517.3,1527.76
1/4/2020,1547.68,1552.2,1547.27,1552.03
1/6/2020,1560.08,1583.44,1552.06,1566.34
1/7/2020,1566.4,1573.2,1555.49,1569.97
1/9/2020,1570.09,1611.33,1552.61,1554.7
1/11/2020,1560.38,1563.17,1559.8,1562.2
1/13/2020,1562.29,1562.29,1547.11,1550.2
1/14/2020,1549.7,1549.76,1536.08,1546.79
1/18/2020,1559.37,1559.38,1556.35,1557.47
1/20/2020,1556.59,1564.26,1556.43,1564.26
1/21/2020,1560.9,1568.62,1547.23,1558.05
1/22/2020,1557.91,1559.67,1550.64,1558.22
1/23/2020,1558.2,1567.95,1552.07,1562.63
1/25/2020,1572,1572.58,1570.36,1571.45
1/27/2020,1581.35,1588.26,1576.06,1581.3
2020/1/028,1581.79,1583.41,1567.4,1569.33
1/30/2020,1575.34,1585.94,1572.78,1578.3
2/1/2020,1588.11,1590.5,1585.34,1589.01
2/3/2020,1590.2,1593.22,1570.27,1576.31
2/4/2020,1576.04,1579.53,1549.22,1554.08
2/5/2020,1554.15,1562.33,1547.59,1556.93
2/6/2020,1557.23,1567.82,1552.62,1567.2
2/10/2020,1570.29,1576.95,1568.12,1573.16
2/12/2020,1568.62,1570.49,1562.12,1566.01
2/13/2020,1566.24,1578.15,1565.57,1575.67
2/15/2020,1582.7,1585.01,1582.42,1584.11
2/17/2020,1584.7,1584.73,1578.92,1581.1
2/18/2020,1584.53,1605.14,1582.64,1602.07
2/19/2020,1602.31,1611.08,1599.61,1609.1
2/20/2020,1609.95,1623.68,1604.18,1620.41
2/22/2020,1646.64,1646.95,1642.98,1643.46
2/25/2020,1658.85,1663.8,1633.51,1649.67
2/26/2020,1649.82,1654.99,1625.1,1644.31
2/27/2020,1641.82,1660.36,1636.76,1639.42
2/29/2020,1582.78,1587.68,1578.27,1586.16
3/2/2020,1580.64,1610.16,1579.39,1595.21
3/3/2020,1591.84,1646.21,1588.19,1636.33
3/4/2020,1638.03,1647.91,1635.73,1640.79
3/5/2020,1638.72,1674.03,1636.41,1674.03
3/7/2020,1673.27,1674.52,1673.27,1674.52
3/10/2020,1676.45,1679.96,1646.69,1649.13
3/11/2020,1648.6,1670.91,1634.64,1638.07
3/12/2020,1637.22,1647.4,1561.11,1568.02
3/14/2020,1525.75,1530.25,1525.75,1529.42
3/16/2020,1551.34,1571.96,1451.43,1503.2
3/17/2020,1502.23,1551.22,1466.62,1533.42
4/6/2020,1611.85,1666.06,1611.85,1665.92
4/8/2020,1652.17,1658.76,1642.17,1649.18
4/13/2020,1684.92,1721.99,1677.24,1718.8
4/14/2020,1718.53,1746.97,1710.34,1728.2
4/23/2020,1715.22,1738.64,1708.22,1733.62
5/4/2020,1698.72,1713.54,1692.34,1704.89
5/13/2020,1700.16,1717.66,1699.03,1714.81
5/16/2020,1744.25,1745.34,1741.72,1743.02
5/19/2020,1733.84,1747.84,1726.49,1746.47
5/20/2020,1746.57,1754.03,1742.99,1748.84
5/21/2020,1749.8,1750.36,1717.34,1726.51
5/26/2020,1728.18,1735.39,1709.53,1710.26
5/30/2020,1731.71,1733.55,1729.07,1729.07
6/1/2020,1739.25,1744.55,1729.14,1739.05
6/6/2020,1682.22,1685.96,1681.25,1685.18
6/8/2020,1683.36,1700.53,1677.95,1700.28
6/10/2020,1714.49,1734.66,1712.58,1734.66
6/16/2020,1725.45,1732.66,1717.43,1725.67
6/20/2020,1742.07,1744.24,1741.61,1744.07
6/22/2020,1752.32,1762.94,1743.29,1754.1
6/23/2020,1754.68,1769.29,1748.76,1768.97
6/27/2020,1769.94,1771.87,1769.05,1771.47
6/29/2020,1774.03,1775.12,1766.93,1772.58
6/30/2020,1771.08,1785.64,1765.76,1780.07
7/1/2020,1781.05,1789.18,1759.59,1772.2
7/2/2020,1772.3,1779.17,1758.99,1775.24
7/6/2020,1773.84,1786.91,1770.48,1786.42
7/7/2020,1786.09,1797,1774.92,1795.54
7/13/2020,1800.01,1812.8,1798.41,1802.67
7/14/2020,1801.17,1810.74,1792.32,1809.07
7/15/2020,1809.76,1814.4,1803.33,1811.49
7/18/2020,1810.88,1811.34,1809.44,1810.56
7/20/2020,1808.32,1819.77,1806.05,1818.33
7/21/2020,1817.7,1843.33,1816.19,1839.67
7/22/2020,1840.8,1870.18,1839.77,1866.61
7/25/2020,1900.84,1902.59,1900.7,1901.15
7/27/2020,1901.46,1945.14,1901.46,1936.68
7/30/2020,1968.05,1971.77,1939.79,1956.1
8/1/2020,1972.28,1976.11,1971.95,1976.11
8/3/2020,1981.65,1984.93,1960.82,1976.6
8/4/2020,1977.17,2009.46,1968.87,2007.51
8/5/2020,2013.39,2054.98,2009.91,2042.72
8/6/2020,2040.63,2069.41,2034.97,2061.22
8/10/2020,2036.06,2049.83,2019.87,2027.28
8/11/2020,2024.67,2030.03,1911.28,1923.24
8/12/2020,1915.95,1948.98,1865.2,1925.51
8/13/2020,1917.06,1966.28,1907.02,1948.23
8/15/2020,1943.2,1946.19,1942.22,1944.49
8/17/2020,1947.86,1990.5,1929.74,1981.83
8/18/2020,1983.81,2015.12,1978.99,2003.95
8/22/2020,1937.41,1941.25,1937.01,1940.71
8/24/2020,1941.42,1960.95,1924.16,1925.96
8/25/2020,1926.02,1937.62,1923.12,1924.62
8/26/2020,1929.2,1930.07,1927.59,1928.76
8/27/2020,1942.23,1975.88,1911.8,1930.81
8/31/2020,1963.62,1974.95,1954.63,1968.42
9/1/2020,1969.1,1992.3,1964.16,1966.78
9/2/2020,1968.61,1973.34,1933.15,1942.7
9/3/2020,1941.32,1951.09,1922.89,1931.12
9/5/2020,1935.42,1937.28,1931.7,1933.9
9/7/2020,1932.24,1941.39,1924.76,1928.47
9/8/2020,1930.62,1940.63,1907.68,1932.35
9/9/2020,1932.56,1950.77,1920.22,1950.42
9/10/2020,1949.53,1966.06,1942.27,1943.06
9/12/2020,1942.68,1942.9,1939.64,1940.36
9/14/2020,1940.15,1962.51,1937.78,1958.21
9/16/2020,1952.65,1973.18,1949.99,1956.93
9/17/2020,1956.58,1961.03,1933.25,1944.32
9/19/2020,1951.21,1951.62,1949.41,1950.52
9/21/2020,1949.06,1955.63,1883.12,1912.55
9/22/2020,1912.15,1919.9,1895.73,1901.78
9/23/2020,1901.7,1905.32,1856.28,1860.42
9/26/2020,1862.03,1862.4,1860.02,1862.4
9/28/2020,1861.89,1882.93,1849.7,1881.69
9/29/2020,1881.79,1898.79,1875.77,1897.7
9/30/2020,1898.37,1902.05,1881.73,1885.77
10/1/2020,1886.41,1911.8,1884.83,1905.29
10/3/2020,1900.41,1900.87,1898.3,1898.3
10/5/2020,1902.49,1918.39,1887.25,1913.51
10/6/2020,1913.47,1920.53,1884.04,1886.27
10/7/2020,1885.28,1898,1873.14,1888.01
10/10/2020,1929.5,1930.36,1929.15,1930.23
10/12/2020,1928.1,1933.1,1919.11,1923.1
